          #n_i,            n_j,            lup,      Size (kB),          cy/VL
            20,             40,            684,        12.8000,     8.66329200
            20,             40,            684,        12.8000,     8.66432500
            20,             40,            684,        12.8000,     8.66398400
            40,             80,           2964,        51.2000,     8.38687800
            40,             80,           2964,        51.2000,     8.38407500
            40,             80,           2964,        51.2000,     8.38501300
            40,             80,           2964,        51.2000,     8.38468300
            60,            120,           6844,       115.2000,     8.08873700
            60,            120,           6844,       115.2000,     8.08610700
            60,            120,           6844,       115.2000,     8.08959200
            80,            160,          12324,       204.8000,     8.16643800
            80,            160,          12324,       204.8000,     8.16252600
           100,            200,          19404,       320.0000,     8.45391400
           100,            200,          19404,       320.0000,     8.48437000
           120,            240,          28084,       460.8000,     8.33043000
           120,            240,          28084,       460.8000,     8.30096400
           140,            280,          38364,       627.2000,     8.23108800
           160,            320,          50244,       819.2000,     8.21022200
           160,            320,          50244,       819.2000,     8.22058800
           180,            360,          63724,      1036.8000,     8.19367400
           200,            400,          78804,      1280.0000,     8.16812500
           220,            440,          95484,      1548.8000,     8.13098200
           240,            480,         113764,      1843.2000,     8.17112400
           280,            560,         155124,      2508.8000,     8.16175500
           300,            600,         178204,      2880.0000,     8.09118500
           340,            680,         229164,      3699.2000,     8.10939100
           360,            720,         257044,      4147.2000,     8.08443900
           400,            800,         317604,      5120.0000,     8.13410900
           440,            880,         384564,      6195.2000,     8.68486500
           500,           1000,         497004,      8000.0000,     9.57737900
           540,           1080,         579964,      9331.2000,     9.26334600
           600,           1200,         716404,     11520.0000,     9.09824600
           660,           1320,         867244,     13939.2000,     9.12177300
           720,           1440,        1032484,     16588.8000,     9.09166200
           800,           1600,        1275204,     20480.0000,     9.08184800
           880,           1760,        1543524,     24780.8000,     9.09856000
           980,           1960,        1914924,     30732.8000,     9.66808100
          1080,           2160,        2326324,     37324.8000,    10.22869400
          1180,           2360,        2777724,     44556.8000,     9.90029900
          1300,           2600,        3372204,     54080.0000,    10.02966300
          1440,           2880,        4138564,     66355.2000,     9.97873300
          1580,           3160,        4983324,     79884.8000,    10.23590100
          1740,           3480,        6044764,     96883.2000,    10.33741700
          1900,           3800,        7208604,    115520.0000,    10.32505900
          2100,           4200,        8807404,    141120.0000,    10.31362800
          2320,           4640,       10750884,    172236.8000,    10.43568900
          2540,           5080,       12887964,    206451.2000,    10.41674700
          2800,           5600,       15663204,    250880.0000,    10.31732300
