          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             3,              0,             -2,         0.0000,  -346.11894400
             3,              0,             -2,         0.0000,  -347.24775000
             3,             80,             78,         3.8400,     9.42872300
             3,             80,             78,         3.8400,     9.49187100
             3,             80,             78,         3.8400,     9.42192500
             3,             80,             78,         3.8400,     9.43721800
             3,            160,            158,         7.6800,     7.70522200
             3,            160,            158,         7.6800,     7.71177700
             3,            240,            238,        11.5200,     6.82446000
             3,            320,            318,        15.3600,     6.47729400
             3,            320,            318,        15.3600,     6.46958200
             3,            400,            398,        19.2000,     6.26281400
             3,            560,            558,        26.8800,     6.00255100
             3,            640,            638,        30.7200,     5.92713600
             3,            800,            798,        38.4000,     5.82870700
             3,            960,            958,        46.0800,     5.76482600
             3,           1120,           1118,        53.7600,     5.80162300
             3,           1360,           1358,        65.2800,     5.76653200
             3,           1680,           1678,        80.6400,     7.16575900
             3,           2000,           1998,        96.0000,     6.13878200
             3,           2400,           2398,       115.2000,     9.51863200
             3,           2880,           2878,       138.2400,     9.69155300
             3,           3520,           3518,       168.9600,     9.97355500
             3,           4160,           4158,       199.6800,     9.64358000
             3,           5040,           5038,       241.9200,     9.52964400
             3,           6080,           6078,       291.8400,     9.59789400
             3,           7280,           7278,       349.4400,     9.53371200
             3,           8720,           8718,       418.5600,     9.26388100
             3,          10480,          10478,       503.0400,     9.28170200
             3,          12560,          12558,       602.8800,     9.16315100
             3,          15120,          15118,       725.7600,     9.06146000
             3,          18160,          18158,       871.6800,     9.01573800
             3,          21760,          21758,      1044.4800,     8.92072700
             3,          26160,          26158,      1255.6800,     8.94316300
             3,          31360,          31358,      1505.2800,     8.96728300
             3,          37680,          37678,      1808.6400,     8.98356300
             3,          45200,          45198,      2169.6000,     9.25382000
             3,          54240,          54238,      2603.5200,     8.93374900
             3,          65120,          65118,      3125.7600,     8.94356000
             3,          78160,          78158,      3751.6800,     8.96457900
             3,          93840,          93838,      4504.3200,     8.97137100
             3,         112560,         112558,      5402.8800,     9.08230000
             3,         135120,         135118,      6485.7600,     9.12310800
             3,         162160,         162158,      7783.6800,     9.69479900
             3,         194560,         194558,      9338.8800,    11.17393800
             3,         233520,         233518,     11208.9600,    12.02158100
             3,         280160,         280158,     13447.6800,    11.69959300
             3,         336240,         336238,     16139.5200,    12.08880300
             3,         403520,         403518,     19368.9600,    11.99574400
             3,         484160,         484158,     23239.6800,    11.88899500
             3,         581040,         581038,     27889.9200,    12.17428200
             3,         697280,         697278,     33469.4400,    11.92788100
             3,         836720,         836718,     40162.5600,    12.04960700
             3,        1004080,        1004078,     48195.8400,    12.00848400
             3,        1204880,        1204878,     57834.2400,    12.00119300
             3,        1445840,        1445838,     69400.3200,    12.04479800
             3,        1735040,        1735038,     83281.9200,    11.92001200
             3,        2082080,        2082078,     99939.8400,    11.93345000
             3,        2498480,        2498478,    119927.0400,    12.24448800
             3,        2998160,        2998158,    143911.6800,    12.57783500
             3,        3597840,        3597838,    172696.3200,    12.96191400
